clicks,impressions,ctr,position,date,dimension,query,page,device
0,0,0,0.0,2026-07-20,date,,,
0,1,0,1.0,2026-07-21,date,,,
0,2,0,43.5,2026-07-22,date,,,
0,2,0,30.0,2026-07-23,date,,,
0,3,0,1.0,2026-07-24,date,,,
0,3,0,3.7,2026-07-25,date,,,
0,1,0,1.0,,query,site:advich.com,,
0,5,0,1.0,,query,site:www.advich.com,,
0,1,0,86.0,,query,程序化展示广告,,
0,1,0,59.0,,query,谷歌ppc优化,,
0,1,0,59.0,,page,,https://www.advich.com/ffssyhqdgg/,
0,8,0,3.1,,page,,https://www.advich.com/jsyjsgzz/,
0,1,0,9.0,,page,,https://www.advich.com/rhkssyrmx/,
0,1,0,86.0,,page,,https://www.advich.com/smscxggtsr/,
0,8,0,1.0,,page,,https://www.advich.com/sydyhyxcly/,
0,8,0,2.0,,page,,https://www.advich.com/tgpxndgxzl/,
0,11,0,14.7,,device,,,DESKTOP
